,status,family,pval,qval,type,gene_short_name,num_cells_expressed,perc_cells_expressed,FC,log2FC
NPAS4,OK,negbinomial.size,3.28E-131,8.66E-128,protein_coding,NPAS4,439,0.127579192,591.4231992,9.208047025
FOS,OK,negbinomial.size,0,0,protein_coding,FOS,1286,0.373728567,318.7807685,8.316420786
NR4A1,OK,negbinomial.size,4.05E-173,1.34E-169,protein_coding,NR4A1,615,0.178727114,61.57475787,5.944267145
EGR1,OK,negbinomial.size,7.33E-85,1.38E-81,protein_coding,EGR1,292,0.084859053,55.21457892,5.786977343
FOSB,OK,negbinomial.size,1.82E-81,2.66E-78,protein_coding,FOSB,287,0.083405987,43.32168079,5.437017312
JUNB,OK,negbinomial.size,2.05E-177,9.00E-174,protein_coding,JUNB,571,0.165940134,38.17304222,5.254482262
LINC00473,OK,negbinomial.size,1.10E-22,5.17E-20,protein_coding,LINC00473,115,0.033420517,21.05762712,4.39627097
NR4A3,OK,negbinomial.size,5.51E-59,5.59E-56,protein_coding,NR4A3,318,0.092414996,11.59300516,3.535182688
SPRY4,OK,negbinomial.size,4.81E-08,4.96E-06,protein_coding,SPRY4,47,0.01365882,8.774011299,3.133236564
MIR22HG,OK,negbinomial.size,3.99E-22,1.65E-19,protein_coding,MIR22HG,149,0.043301366,8.312221231,3.055234052
GPR3,OK,negbinomial.size,1.22E-08,1.43E-06,protein_coding,GPR3,63,0.018308631,6.671904426,2.738098622
ATF3,OK,negbinomial.size,1.55E-26,9.31E-24,protein_coding,ATF3,170,0.049404243,6.635346045,2.730171707
BTG2,OK,negbinomial.size,3.14E-25,1.66E-22,protein_coding,BTG2,179,0.052019762,6.580508475,2.718199065
SIK1,OK,negbinomial.size,2.82E-82,4.65E-79,protein_coding,SIK1,608,0.176692822,5.999431465,2.58482579
CSRNP1,OK,negbinomial.size,1.80E-15,4.76E-13,protein_coding,CSRNP1,105,0.030514385,5.522926755,2.465432995
SERTAD1,OK,negbinomial.size,6.57E-11,1.20E-08,protein_coding,SERTAD1,85,0.024702121,5.209569209,2.381164078
ID1,OK,negbinomial.size,2.87E-24,1.40E-21,protein_coding,ID1,181,0.052600988,5.114199521,2.354508446
RP11.54O7.17,OK,negbinomial.size,8.15E-05,0.003517374,protein_coding,RP11.54O7.17,35,0.010171462,4.700363196,2.232772238
ERF,OK,negbinomial.size,2.97E-05,0.001587608,protein_coding,ERF,63,0.018308631,4.411931818,2.141410496
ZNF331,OK,negbinomial.size,6.66E-41,5.50E-38,protein_coding,ZNF331,481,0.139784946,4.355180274,2.122732438
VGF,OK,negbinomial.size,1.39E-74,1.83E-71,protein_coding,VGF,788,0.229003197,4.084330747,2.0300997
RNF122,OK,negbinomial.size,0.001860515,0.034597718,protein_coding,RNF122,43,0.012496367,4.009997352,2.003601284
IER2,OK,negbinomial.size,8.59E-33,5.97E-30,protein_coding,IER2,411,0.119442023,3.831013614,1.937726153
GMNN,OK,negbinomial.size,2.62E-05,0.001425929,protein_coding,GMNN,51,0.014821273,3.632989054,1.861157019
FOSL2,OK,negbinomial.size,3.33E-15,8.63E-13,protein_coding,FOSL2,252,0.073234525,3.431265133,1.778740607
FBXO33,OK,negbinomial.size,8.28E-14,1.89E-11,protein_coding,FBXO33,246,0.071490846,3.224971415,1.689286373
INSIG1,OK,negbinomial.size,4.21E-85,9.27E-82,protein_coding,INSIG1,1276,0.370822435,3.15599283,1.658093928
TOB2,OK,negbinomial.size,6.68E-17,2.05E-14,protein_coding,TOB2,285,0.08282476,3.113990617,1.638764598
NR4A2,OK,negbinomial.size,5.33E-60,5.87E-57,protein_coding,NR4A2,749,0.217669282,3.05557472,1.611443761
EGR3,OK,negbinomial.size,4.68E-15,1.19E-12,protein_coding,EGR3,345,0.100261552,2.841583205,1.50669496
DUSP5,OK,negbinomial.size,3.42E-13,7.40E-11,protein_coding,DUSP5,178,0.051729149,2.741878531,1.455164659
ARC,OK,negbinomial.size,0.002410211,0.040797448,protein_coding,ARC,83,0.024120895,2.702708838,1.434406099
RP11.9G1.3,OK,negbinomial.size,0.00104121,0.023825133,protein_coding,RP11.9G1.3,43,0.012496367,2.692026194,1.428692448
HCRTR2,OK,negbinomial.size,0.001270261,0.026621049,protein_coding,HCRTR2,71,0.020633537,2.591075212,1.373550894
SLC18B1,OK,negbinomial.size,0.000117968,0.004635512,protein_coding,SLC18B1,55,0.015983726,2.38110504,1.251631265
DCUN1D3,OK,negbinomial.size,1.61E-09,2.27E-07,protein_coding,DCUN1D3,337,0.097936646,2.380753066,1.251417991
CTD.2235C13.3,OK,negbinomial.size,0.001816255,0.034110973,protein_coding,CTD.2235C13.3,80,0.023249056,2.364870233,1.241761021
TRAF4,OK,negbinomial.size,4.78E-10,7.51E-08,protein_coding,TRAF4,237,0.068875327,2.348478568,1.231726428
RP11.127B20.3,OK,negbinomial.size,8.68E-05,0.003698524,protein_coding,RP11.127B20.3,74,0.021505376,2.320804328,1.214624891
MAFF,OK,negbinomial.size,0.001019621,0.023632686,protein_coding,MAFF,120,0.034873583,2.314655597,1.210797548
C12orf44,OK,negbinomial.size,1.88E-09,2.59E-07,protein_coding,C12orf44,295,0.085730892,2.289609907,1.19510182
CCNL1,OK,negbinomial.size,3.05E-11,5.83E-09,protein_coding,CCNL1,391,0.113629759,2.257546703,1.174755834
SLC2A3,OK,negbinomial.size,7.92E-14,1.84E-11,protein_coding,SLC2A3,564,0.163905841,2.222503463,1.152185667
NRARP,OK,negbinomial.size,1.29E-07,1.26E-05,protein_coding,NRARP,206,0.059866318,2.193502825,1.133236564
PPP1R15A,OK,negbinomial.size,1.29E-22,5.86E-20,protein_coding,PPP1R15A,616,0.179017727,2.17930186,1.123866041
