"","status","family","pval","qval","type","gene_short_name","num_cells_expressed","perc_cells_expressed","FC","log2FC"
"UBFD1","OK","negbinomial.size",2.70342043244897e-08,9.04226549143368e-06,"protein_coding","UBFD1",218,0.310984308131241,1.49980022583167,0.584770345790375
"ZSWIM6","OK","negbinomial.size",0.000194089333906035,0.00826981273353135,"protein_coding","ZSWIM6",186,0.265335235378031,1.49855096015818,0.583568145391293
"CTH","OK","negbinomial.size",0.00198676447228449,0.0396730177234242,"protein_coding","CTH",48,0.0684736091298146,1.49667964277536,0.581765452365428
"KIAA1377","OK","negbinomial.size",0.001110416195851,0.0274100706352225,"protein_coding","KIAA1377",39,0.0556348074179743,1.48644243591643,0.571863594408742
"GLTSCR1","OK","negbinomial.size",0.00111932291051307,0.0275790446035993,"protein_coding","GLTSCR1",94,0.134094151212553,1.48362720403023,0.569128626687503
"ZBED6","OK","negbinomial.size",0.000176168825812188,0.00760310555013312,"protein_coding","ZBED6",74,0.105563480741797,1.4820833671894,0.567626601522271
"NRIP1","OK","negbinomial.size",2.85142491050569e-07,6.46596845383993e-05,"protein_coding","NRIP1",142,0.202567760342368,1.4780622107668,0.563706992945455
"AURKA","OK","negbinomial.size",6.31013647421595e-07,0.000111754957331656,"protein_coding","AURKA",169,0.241084165477889,1.47423432755008,0.559965857082699
"UBALD2","OK","negbinomial.size",0.000819525380045037,0.0228185642738933,"protein_coding","UBALD2",167,0.238231098430813,1.4663165228576,0.552196560952665
"VGF","OK","negbinomial.size",0.000469527552007608,0.0154037594963357,"protein_coding","VGF",68,0.0970042796005706,1.44870311117162,0.534761967616644
"FBXO3","OK","negbinomial.size",0.00278866650002801,0.0489589378769235,"protein_coding","FBXO3",137,0.195435092724679,1.44640358242373,0.532470156108655
"VCAM1","OK","negbinomial.size",0.00179129364023876,0.0371561513376036,"protein_coding","VCAM1",83,0.118402282453638,1.44446988779482,0.530540129010255
"SPPL3","OK","negbinomial.size",2.71991099392433e-06,0.000322032647678882,"protein_coding","SPPL3",204,0.291012838801712,1.44288777400754,0.528959093190775
"USP19","OK","negbinomial.size",0.000280255658750762,0.010982943024425,"protein_coding","USP19",120,0.171184022824536,1.44214945424013,0.528220683107297
"MEF2D","OK","negbinomial.size",0.00229939891407069,0.0437605377970864,"protein_coding","MEF2D",41,0.0584878744650499,1.44139872573715,0.527469475050288
"CDC25C","OK","negbinomial.size",6.60503230887826e-05,0.00379562072452273,"protein_coding","CDC25C",142,0.202567760342368,1.4386688039081,0.524734507329049
"SLC38A2","OK","negbinomial.size",0.00138637402908129,0.0317607844778742,"protein_coding","SLC38A2",190,0.271041369472183,1.43373171123854,0.519775083260287
"ZBTB44","OK","negbinomial.size",0.000113638308367824,0.00552860700964768,"protein_coding","ZBTB44",145,0.206847360912981,1.43331395724343,0.519354656318397
"KLHL15","OK","negbinomial.size",0.00277573304479163,0.0489227190753916,"protein_coding","KLHL15",90,0.128388017118402,1.43160661482861,0.517635114945713
"SFRP1","OK","negbinomial.size",1.03205323839721e-06,0.000155144272769846,"protein_coding","SFRP1",221,0.315263908701855,1.4186076851285,0.50447566834525
"SOGA1","OK","negbinomial.size",0.00185482037778514,0.0381779105144422,"protein_coding","SOGA1",127,0.181169757489301,1.41546446836119,0.501275534505061
"EFNB2","OK","negbinomial.size",5.20702932261409e-07,9.95212075817914e-05,"protein_coding","EFNB2",243,0.346647646219686,1.41517074259478,0.500976127003542
"ARID5B","OK","negbinomial.size",0.00180277783602658,0.037278770739103,"protein_coding","ARID5B",89,0.126961483594864,1.41237055695494,0.498118651317878
"KPNA2","OK","negbinomial.size",2.5534006374403e-09,1.0675608477598e-06,"protein_coding","KPNA2",348,0.496433666191155,1.41142190119274,0.497149301738966
"TET2","OK","negbinomial.size",0.00191884359325982,0.0388384393861167,"protein_coding","TET2",74,0.105563480741797,1.41057934508816,0.496287819802009
"YAP1","OK","negbinomial.size",1.11721030293655e-06,0.000166079518255424,"protein_coding","YAP1",234,0.333808844507846,1.4049170431126,0.490484945376139
"PAPD5","OK","negbinomial.size",0.00014596443935664,0.00685213415492102,"protein_coding","PAPD5",107,0.152639087018545,1.4018988568107,0.487382266580117
"EXOC5","OK","negbinomial.size",5.43816224737097e-05,0.00338242790992509,"protein_coding","EXOC5",170,0.242510699001427,1.39065983381105,0.475769568629002
"GAS2L3","OK","negbinomial.size",4.35989597974177e-05,0.00281792503927368,"protein_coding","GAS2L3",147,0.209700427960057,1.38902231855193,0.474069780460778
"EHMT1","OK","negbinomial.size",0.00275357368998348,0.0488594992019748,"protein_coding","EHMT1",138,0.196861626248217,1.38463131016873,0.469501876779064
"HS6ST2","OK","negbinomial.size",0.00159864656684632,0.0345529764423859,"protein_coding","HS6ST2",131,0.186875891583452,1.38463131016873,0.469501876779064
"ZIC3","OK","negbinomial.size",0.000498083147745284,0.0160962667480294,"protein_coding","ZIC3",164,0.2339514978602,1.38327780937678,0.468090927971357
